MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,Irish Cattle Breeding Federation,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,Irish Cattle Breeding Federation,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,Irish Cattle Breeding Federation,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Smallholder farmers are supported through initiatives aimed at transforming food systems to become more climate resilient and providing adequate income.,Farmers,Smallholder Farmers,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Smallholder farmers are supported through initiatives aimed at transforming food systems to become more climate resilient and providing adequate income.,Farmers,Smallholder Farmers,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Smallholder farmers are supported through initiatives aimed at transforming food systems to become more climate resilient and providing adequate income.,Farmers,Smallholder Farmers,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Female farmers are actively involved in initiatives aimed at transforming food systems to become more climate resilient and promoting their income through support programs.,Farmers,Female Farmers,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Female farmers are actively involved in initiatives aimed at transforming food systems to become more climate resilient and promoting their income through support programs.,Farmers,Female Farmers,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Female farmers are actively involved in initiatives aimed at transforming food systems to become more climate resilient and promoting their income through support programs.,Farmers,Female Farmers,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in promoting climate-smart agriculture and food systems innovation through the AIM4C initiative.,Fishers,Agricultural Innovation Mission For Climate,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in promoting climate-smart agriculture and food systems innovation through the AIM4C initiative.,Fishers,Agricultural Innovation Mission For Climate,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in promoting climate-smart agriculture and food systems innovation through the AIM4C initiative.,Fishers,Agricultural Innovation Mission For Climate,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Fishers,United States Agency For International Development,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Fishers,United States Agency For International Development,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Fishers,United States Agency For International Development,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Fishers,United Arab Emirates,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Fishers,United Arab Emirates,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Fishers,United Arab Emirates,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through collaborations under the AIM for Climate Innovation Sprint.,Fishers,Sustainable Food Systems Ireland,Producers,International Organisation
